quarter,manufacturer,registrations,lag_q,lag_y,qoq_pct,yoy_pct
2024-04-01,Engtian Electric Bike Pvt Ltd,105,235.0,332.0,-55.32,-68.37
2024-04-01,Wuxi Tenghui (Importer: Seeka E Motors),104,128.0,177.0,-18.75,-41.24
2024-04-01,Lakshya Auto Sales Corporation,102,136.0,156.0,-25.0,-34.62
2024-04-01,Reep Industries Pvt Ltd,100,636.0,1374.0,-84.28,-92.72
2024-04-01,Namah Industries Pvt Ltd,100,64.0,7.0,56.25,1328.57
2024-04-01,Richford Allianz Pvt Ltd,100,,,,
2024-04-01,Maruti Udyog Ltd,99,187.0,237.0,-47.06,-58.23
2024-04-01,Green Star Motors,98,166.0,192.0,-40.96,-48.96
2024-04-01,Celletron Motor Works,98,54.0,5.0,81.48,1860.0
2024-04-01,Kakkar Electric Auto Pvt Ltd,98,12.0,,716.67,
2024-04-01,Greenfit Industries Llp,98,84.0,,16.67,
2024-04-01,Green Impex,98,122.0,315.0,-19.67,-68.89
2024-04-01,Guru Nanak Agri Engg Works,95,165.0,365.0,-42.42,-73.97
2024-04-01,Kabmax Electric Automobiles Pvt. Ltd,94,122.0,300.0,-22.95,-68.67
2024-04-01,Balan Engineering Pvt Ltd,93,84.0,244.0,10.71,-61.89
2024-04-01,Vmt Industries Pvt Ltd,92,154.0,174.0,-40.26,-47.13
2024-04-01,Aditya Sai Industries,92,140.0,153.0,-34.29,-39.87
2024-04-01,A.R. Motor,92,,,,
2024-04-01,Sudhraj Electric Mobility Pvt. Ltd.,92,174.0,69.0,-47.13,33.33
2024-04-01,United Transmovers Pvt Ltd,90,164.0,222.0,-45.12,-59.46
2024-04-01,New Gurdial Agro Industries Pvt Ltd,90,97.0,311.0,-7.22,-71.06
2024-04-01,Asha Impex,88,72.0,81.0,22.22,8.64
2024-04-01,Switch Mobility Automotive Ltd,88,224.0,69.0,-60.71,27.54
2024-04-01,Taurus Electric Vehicles,88,214.0,259.0,-58.88,-66.02
2024-04-01,Crane Kraft India Private Limited,87,139.0,145.0,-37.41,-40.0
2024-04-01,Sumfonl Auto Traders Pvt Ltd,87,123.0,247.0,-29.27,-64.78
2024-04-01,Kyb Conmat Pvt Ltd,86,117.0,97.0,-26.5,-11.34
2024-04-01,Manish Ev International Private Limited,86,222.0,282.0,-61.26,-69.5
2024-04-01,Devangi Eng..,86,142.0,78.0,-39.44,10.26
2024-04-01,Gaura Electric Vehicles Pvt Ltd,86,68.0,,26.47,
2024-04-01,Numeros Motors Pvt Ltd,86,102.0,228.0,-15.69,-62.28
2024-04-01,Harley Davidson (Importer: Hero Motocorp),85,123.0,153.0,-30.89,-44.44
2024-04-01,Vijaya Electric Auto Pvt Ltd,84,140.0,162.0,-40.0,-48.15
2024-04-01,Roarleo Motor Pvt Ltd,84,150.0,238.0,-44.0,-64.71
2024-04-01,Shiv Om India,84,152.0,93.0,-44.74,-9.68
2024-04-01,Adm Technologies Pvt. Ltd.,84,94.0,69.0,-10.64,21.74
2024-04-01,Cart India,84,554.0,102.0,-84.84,-17.65
2024-04-01,Rgm Business Plus Pvt Ltd,82,245.0,718.0,-66.53,-88.58
2024-04-01,"Xuzhou Construction Machinery Group Co. Ltd, China",81,134.0,111.0,-39.55,-27.03
2024-04-01,Youyaku Electric (Importer:Ime Vehicles Pvt Ltd),81,306.0,9.0,-73.53,800.0
2024-04-01,Pragya Automobile Pvt Ltd,80,46.0,3.0,73.91,2566.67
2024-04-01,Ammann Apollo India Pvt Ltd,79,154.0,184.0,-48.7,-57.07
2024-04-01,Sunset Trade Pvt Ltd,78,129.0,246.0,-39.53,-68.29
2024-04-01,M/S Bharat Trailers,78,82.0,123.0,-4.88,-36.59
2024-04-01,Trinity Electric Vehicles Pvt Ltd,78,84.0,6.0,-7.14,1200.0
2024-04-01,Scania Commercial Vehicles India Pvt Limited,78,30.0,39.0,160.0,100.0
2024-04-01,Surindera Agro Insdustries,77,106.0,235.0,-27.36,-67.23
2024-04-01,Xyz1,77,390.0,72.0,-80.26,6.94
2024-04-01,Chandana Corporation,77,103.0,396.0,-25.24,-80.56
2024-04-01,Yangguang Lingmu (Importer: Flycon Motors),76,163.0,43.0,-53.37,76.74
2024-04-01,Jessun Techno Pvt Ltd,76,74.0,168.0,2.7,-54.76
2024-04-01,Kcas Electric Vehicles Pvt Ltd,76,20.0,249.0,280.0,-69.48
2024-04-01,Allentti Motors Pvt Ltd,74,80.0,,-7.5,
2024-04-01,Adishwar Auto Ride India Pvt Ltd,74,144.0,204.0,-48.61,-63.73
2024-04-01,Krishna Vehicals,74,80.0,296.0,-7.5,-75.0
2024-04-01,Rasandik Engineering Industries India Ltd,74,150.0,60.0,-50.67,23.33
2024-04-01,Skyy Rider Electric Private Limited,74,128.0,,-42.19,
2024-04-01,Evtric Motors Pvt Ltd,74,149.0,522.0,-50.34,-85.82
2024-04-01,Jiangsu Zheenaida (Importer: Klb Global),73,125.0,636.0,-41.6,-88.52
2024-04-01,Eco Fuel Systems (I) Pvt Ltd,73,119.0,352.0,-38.66,-79.26
2024-04-01,Kartar Tractors Private Limited,73,191.0,157.0,-61.78,-53.5
2024-04-01,Kuku Automotives,73,244.0,498.0,-70.08,-85.34
2024-04-01,N K Industries,72,108.0,126.0,-33.33,-42.86
2024-04-01,New Chawla Industries,70,,,,
2024-04-01,Vishwakarma Gng Industry,70,94.0,45.0,-25.53,55.56
2024-04-01,Ajay Motors Private Limited,70,60.0,147.0,16.67,-52.38
2024-04-01,Shine Metal Udyog Pvt Ltd (Unit- Ii),70,115.0,74.0,-39.13,-5.41
2024-04-01,Gogoro India Pvt Ltd,70,20.0,,250.0,
2024-04-01,Uma Motors,70,120.0,216.0,-41.67,-67.59
2024-04-01,Zhejiang Qianjiang (Importer: Adishwar Auto),68,97.0,63.0,-29.9,7.94
2024-04-01,Sri Sai Agricultural Equipment,66,58.0,93.0,13.79,-29.03
2024-04-01,K.S. Agrotech Pvt Ltd,66,70.0,48.0,-5.71,37.5
2024-04-01,Venus Equipment,65,80.0,85.0,-18.75,-23.53
2024-04-01,Mecpower Mobility Pvt. Ltd.,64,104.0,234.0,-38.46,-72.65
2024-04-01,Dave Exim Pvt Ltd,64,82.0,393.0,-21.95,-83.72
2024-04-01,Uttam Construction Equipments,64,82.0,125.0,-21.95,-48.8
2024-04-01,Bali Auto Industries,64,158.0,240.0,-59.49,-73.33
2024-04-01,Saksham Trading Company,64,51.0,26.0,25.49,146.15
2024-04-01,Shigan Evoltz Ltd,62,159.0,285.0,-61.01,-78.25
2024-04-01,Hongkong Yixing (Importer: Adms Marketing),61,158.0,39.0,-61.39,56.41
2024-04-01,Altigreen Propulsion Labs Pvt Ltd,61,1551.0,1575.0,-96.07,-96.13
2024-04-01,Bentinck Industries Pvt. Ltd.,60,148.0,276.0,-59.46,-78.26
2024-04-01,Wuxi Tourwe (Importer: Goreen E-Mobility),60,107.0,129.0,-43.93,-53.49
2024-04-01,M/S Vishnu Clean Energy Vehicles Llp,60,14.0,9.0,328.57,566.67
2024-04-01,Haitek Automotive Pvt Ltd,58,22.0,,163.64,
2024-04-01,Toyota Material Handling India Pvt Ltd,58,114.0,125.0,-49.12,-53.6
2024-04-01,Lucky Industries,58,28.0,30.0,107.14,93.33
2024-04-01,Evage Automotive Pvt Ltd,58,60.0,18.0,-3.33,222.22
2024-04-01,Jai Sri Ram Electric Vehicle Manufacturing Pvt Ltd,58,108.0,174.0,-46.3,-66.67
2024-04-01,Vishavkarma Engineering Works,58,404.0,145.0,-85.64,-60.0
2024-04-01,Yaari Automobiles Pvt Ltd,57,64.0,34.0,-10.94,67.65
2024-04-01,Bal Gopal Wheels Pvt Ltd,57,171.0,54.0,-66.67,5.56
2024-04-01,Nipun Sanyantra Pvt Ltd,56,150.0,324.0,-62.67,-82.72
2024-04-01,Extreme Motors,56,78.0,192.0,-28.21,-70.83
2024-04-01,Efev Charging Solution Pvt Ltd,55,178.0,219.0,-69.1,-74.89
2024-04-01,Kgn,54,174.0,180.0,-68.97,-70.0
2024-04-01,Baba Product,54,156.0,207.0,-65.38,-73.91
2024-04-01,Zoomlion India Pvt Ltd,54,87.0,93.0,-37.93,-41.94
2024-04-01,Shailendra Autos Pvt Ltd,54,82.0,,-34.15,
2024-04-01,K.S. Agricultural Industries Pvt. Ltd,54,144.0,384.0,-62.5,-85.94
2024-04-01,Mahindra & Mahindra Ltd Farm Machinery Division,54,93.0,42.0,-41.94,28.57
2024-04-01,Porfitel Technology (Importer: Aeroride),53,123.0,172.0,-56.91,-69.19
2024-04-01,K T Enterprises,53,160.0,167.0,-66.88,-68.26
2024-04-01,Pinnacle Mobility Solutions Pvt Ltd,52,90.0,6.0,-42.22,766.67
2024-04-01,Ipl Tech Electric Pvt Ltd,50,15.0,7.0,233.33,614.29
2024-04-01,Erisha E Mobility Pvt Ltd,50,42.0,18.0,19.05,177.78
2024-04-01,Sirf India Vehicles Pvt Ltd,50,24.0,12.0,108.33,316.67
2024-04-01,Juneng Motorcycle (Importer: Iscoot Moters),50,104.0,106.0,-51.92,-52.83
2024-04-01,Supereco Automotive Co,50,76.0,437.0,-34.21,-88.56
2024-04-01,Aman Automobiles,49,32.0,13.0,53.12,276.92
2024-04-01,Raj Automotive,49,42.0,60.0,16.67,-18.33
2024-04-01,Sec-Rjmt Engineering Pvt Ltd,48,54.0,18.0,-11.11,166.67
2024-04-01,Ajanta Krushi Yantra,48,10.0,18.0,380.0,166.67
2024-04-01,M/S Sarangi Motros,48,123.0,114.0,-60.98,-57.89
2024-04-01,Ningbo Longjia (Importer: Adishwar Auto),48,64.0,165.0,-25.0,-70.91
2024-04-01,Roansome Motors,48,82.0,,-41.46,
2024-04-01,Abzo Motors Pvt Ltd,48,28.0,15.0,71.43,220.0
2024-04-01,Vijayshree Autocom Limited,48,114.0,111.0,-57.89,-56.76
2024-04-01,Zhejiang Changling (Importer: Adishwar Auto),48,78.0,180.0,-38.46,-73.33
2024-04-01,Polaris India Pvt Ltd,47,69.0,75.0,-31.88,-37.33
2024-04-01,Ultraviolette Automotive Pvt Ltd,46,104.0,237.0,-55.77,-80.59
2024-04-01,Guangdong Tayo (Importer: Adishwar Auto),46,66.0,48.0,-30.3,-4.17
2024-04-01,Amo Mobility Solutions Pvt Ltd,45,106.0,1683.0,-57.55,-97.33
2024-04-01,Bhoyar Agro Ind Wardha,44,42.0,72.0,4.76,-38.89
2024-04-01,Manmohan Kaur,44,78.0,9.0,-43.59,388.89
2024-04-01,Shri Vishwakarma Automobile,44,102.0,117.0,-56.86,-62.39
2024-04-01,Zhonghualong (Importer: Poworo Pvt Ltd),44,,,,
2024-04-01,"M/S Ajay Engineering Works Equipments Pvt Ltd ,Sambalpur",44,36.0,42.0,22.22,4.76
2024-04-01,M/S Maa Mangala Industries,44,60.0,66.0,-26.67,-33.33
2024-04-01,China Haochen (Importer: Adms Marketing),44,150.0,63.0,-70.67,-30.16
2024-04-01,Ozotec Automobile Private Limited,44,60.0,293.0,-26.67,-84.98
2024-04-01,Juneng Motorcycle (Importer: Jhev Motors Pvt Ltd),44,32.0,,37.5,
2024-04-01,"Laxmi Gobinda Agro Ind,Bls",44,63.0,79.0,-30.16,-44.3
2024-04-01,Dashmesh Traders,44,72.0,82.0,-38.89,-46.34
2024-04-01,Devam Electric Vehicles Pvt Ltd,43,97.0,,-55.67,
2024-04-01,Prag Motors,43,86.0,117.0,-50.0,-63.25
2024-04-01,Invvigors India,43,84.0,60.0,-48.81,-28.33
2024-04-01,Youyaku Electric (Importer:Newtron Electric),42,64.0,,-34.38,
2024-04-01,Fieldtrack Earthmovers Pvt Ltd,42,54.0,72.0,-22.22,-41.67
2024-04-01,Wuxi Shengbao (Importer:Electric One Energy),42,30.0,,40.0,
2024-04-01,Green Evolve Pvt Ltd,40,204.0,60.0,-80.39,-33.33
2024-04-01,Dhriti Enterprises,40,32.0,,25.0,
2024-04-01,Wuxi Saige Electric (Importer: Delta Autocorp Llp),40,118.0,114.0,-66.1,-64.91
2024-04-01,Youyaku Electric (Importer: Houstan Innovation),40,174.0,66.0,-77.01,-39.39
2024-04-01,Munde Mechanical Works,40,44.0,57.0,-9.09,-29.82
2024-04-01,Wuxi Jiyayi (Importer: Izanau Electric Llp),40,66.0,283.0,-39.39,-85.87
2024-04-01,Standard Corporation India Ltd,40,119.0,164.0,-66.39,-75.61
2024-04-01,Zero 21 Renewable Energy Solutions Pvt Ltd,39,48.0,6.0,-18.75,550.0
2024-04-01,Shri Shankar Eng Works,38,78.0,57.0,-51.28,-33.33
2024-04-01,Hanuman Udyog,38,20.0,6.0,90.0,533.33
2024-04-01,Five Elements,38,96.0,78.0,-60.42,-51.28
2024-04-01,Lala G E Rickshaw And Spare Parts,38,22.0,,72.73,
2024-04-01,Shree Maruti Nandan Businesss (P) Ltd,38,115.0,255.0,-66.96,-85.1
2024-04-01,Radheshyam Trailor,38,32.0,6.0,18.75,533.33
2024-04-01,Lords Vehicle Mfg Pvt Ltd,37,62.0,202.0,-40.32,-81.68
2024-04-01,Super Power Motors,37,142.0,,-73.94,
2024-04-01,Jain Power Corp,36,60.0,133.0,-40.0,-72.93
2024-04-01,Saksham Tech Automobiles,36,62.0,132.0,-41.94,-72.73
2024-04-01,Tata International Vehicle Applications Pvt Ltd,36,40.0,24.0,-10.0,50.0
2024-04-01,Enginia Vehicles Pvt Ltd,36,142.0,57.0,-74.65,-36.84
2024-04-01,Sunanda Greentech Pvt Ltd,36,100.0,,-64.0,
2024-04-01,Automobili Lamborghini S.P.A,36,30.0,51.0,20.0,-29.41
2024-04-01,Shaktiman Agro Industries,36,37.0,99.0,-2.7,-63.64
2024-04-01,Godawari Techno Solutions Pvt Ltd,36,36.0,104.0,0.0,-65.38
2024-04-01,Dynapac Road Construction Equipment India Pvt Ltd,35,183.0,51.0,-80.87,-31.37
2024-04-01,Supreme Sales Agency,35,20.0,,75.0,
2024-04-01,A.J Enterprises,35,59.0,,-40.68,
2024-04-01,Cyrus Auto Industries Pvt Ltd,34,16.0,39.0,112.5,-12.82
2024-04-01,Jiangsu Aima (Importer: Future Ev),34,32.0,,6.25,
2024-04-01,Dao Evtech Private Limited,34,96.0,212.0,-64.58,-83.96
2024-04-01,S B Traders,34,76.0,15.0,-55.26,126.67
2024-04-01,Youyaku Electric (Importer: Sasdal Enterprises),34,135.0,27.0,-74.81,25.93
2024-04-01,Ecobit International(Importer: Jhev Motors),34,46.0,,-26.09,
2024-04-01,Veectero E Vehicles Llp,34,101.0,153.0,-66.34,-77.78
2024-04-01,Ok Play India Ltd,34,74.0,89.0,-54.05,-61.8
2024-04-01,Singhal Enterprises,34,58.0,105.0,-41.38,-67.62
2024-04-01,Zohan Traders And Big Metro,34,60.0,177.0,-43.33,-80.79
2024-04-01,Priyam Industries And Engineering Pvt Ltd,34,154.0,,-77.92,
2024-04-01,"Amrit Engg Works,Dkl",34,26.0,51.0,30.77,-33.33
2024-04-01,Zubeda Trolly Repairing Works,32,4.0,,700.0,
2024-04-01,Kisan Engineering Works,32,18.0,36.0,77.78,-11.11
2024-04-01,Agri King Tractors & Equipments Pvt Ltd,32,88.0,87.0,-63.64,-63.22
2024-04-01,Hira Agro Industries,32,84.0,184.0,-61.9,-82.61
2024-04-01,Apollo Carmix Equipments Pvt Ltd,31,89.0,83.0,-65.17,-62.65
2024-04-01,Warivo Motor India Pvt Ltd,31,16.0,,93.75,
2024-04-01,Shinme Electrical Vehicle Pvt Ltd,30,60.0,126.0,-50.0,-76.19
2024-04-01,M/S Kastkar Agro Industries,30,90.0,84.0,-66.67,-64.29
2024-04-01,Bhadauria Enterprises,30,90.0,30.0,-66.67,0.0
2024-04-01,Jay Agro Industries,30,60.0,39.0,-50.0,-23.08
2024-04-01,Tratec Engineers Pvt Ltd,30,56.0,117.0,-46.43,-74.36
2024-04-01,Fiado Industries Pvt Ltd,30,70.0,162.0,-57.14,-81.48
2024-04-01,Prakash Enterprises,30,68.0,18.0,-55.88,66.67
2024-04-01,Anjali Traders,30,44.0,39.0,-31.82,-23.08
2024-04-01,Shri Swastik Engg,30,56.0,54.0,-46.43,-44.44
2024-04-01,Shiva Enterprises,30,32.0,,-6.25,
2024-04-01,A D Agro Works,30,70.0,138.0,-57.14,-78.26
2024-04-01,Smart Electro Motors,30,39.0,80.0,-23.08,-62.5
2024-04-01,Eco Dynaamic Equipments,30,46.0,18.0,-34.78,66.67
2024-04-01,Santosh Engg Works,30,62.0,72.0,-51.61,-58.33
2024-04-01,Aftek Motors India Pvt Ltd,29,28.0,94.0,3.57,-69.15
2024-04-01,Agro Industries,29,66.0,140.0,-56.06,-79.29
2024-04-01,Maruthisan Pvt Ltd,28,114.0,72.0,-75.44,-61.11
2024-04-01,Vikrant Engineering,28,34.0,54.0,-17.65,-48.15
2024-04-01,Jmssp Agro Industries Pvt Ltd,28,32.0,,-12.5,
2024-04-01,Green Shuttle Technology Pvt Ltd,28,20.0,18.0,40.0,55.56
2024-04-01,Zap (Hk) (Importer: Izanau Electric),28,34.0,108.0,-17.65,-74.07
2024-04-01,Galvanic Auto Pvt Ltd,26,10.0,,160.0,
2024-04-01,E-Ashwa Automotive Pvt Ltd,26,105.0,209.0,-75.24,-87.56
2024-04-01,Ishwar Farmline Equipments Private Limited,26,18.0,141.0,44.44,-81.56
2024-04-01,Ushasons Auto Components,26,14.0,,85.71,
2024-04-01,Vijex Steel Fabrication,26,6.0,,333.33,
2024-04-01,Hovel Cylinder Pvt Ltd,26,42.0,9.0,-38.1,188.89
2024-04-01,Goenka Electric Motor Vehicles Pvt Ltd,26,40.0,451.0,-35.0,-94.24
2024-04-01,Ford India Pvt Ltd,26,45.0,60.0,-42.22,-56.67
2024-04-01,Hitendra Welding Works,26,34.0,60.0,-23.53,-56.67
2024-04-01,Seamless Autotech Pvt Ltd,26,66.0,,-60.61,
2024-04-01,Wuxi Tenghui (Importer: Jozhi Services),26,14.0,,85.71,
2024-04-01,M/S Ram Agro Machinary,26,12.0,30.0,116.67,-13.33
2024-04-01,Anchi Motorcycle (Importer: Ecotrinity Automobile,26,14.0,15.0,85.71,73.33
2024-04-01,"S P Trading, Khurda",24,34.0,45.0,-29.41,-46.67
2024-04-01,S.B. Reshellers Pvt Ltd,24,6.0,,300.0,
2024-04-01,Hamm Ag,24,20.0,54.0,20.0,-55.56
2024-04-01,Markus,24,30.0,9.0,-20.0,166.67
2024-04-01,Veera Vahana Udyog Private Limited,24,40.0,42.0,-40.0,-42.86
2024-04-01,Syndicate Auto Components,24,18.0,54.0,33.33,-55.56
2024-04-01,Bhogal Combine Spare Parts,24,2.0,,1100.0,
2024-04-01,Kiran Automobile Industry,24,32.0,72.0,-25.0,-66.67
2024-04-01,Parveen Auto,24,20.0,39.0,20.0,-38.46
2024-04-01,Wasan E-Mobility Solutions Pvt Ltd,23,25.0,15.0,-8.0,53.33
2024-04-01,Neuon Motors Llp,22,62.0,57.0,-64.52,-61.4
2024-04-01,Pushkar Industries,22,40.0,57.0,-45.0,-61.4
2024-04-01,Atumobile Pvt Ltd,22,18.0,102.0,22.22,-78.43
2024-04-01,Hind Agro Industries,22,28.0,84.0,-21.43,-73.81
2024-04-01,Ard Exim,22,32.0,60.0,-31.25,-63.33
2024-04-01,Shri Datta Agro Industries,22,10.0,6.0,120.0,266.67
2024-04-01,Kerala Automobiles Limited,22,112.0,75.0,-80.36,-70.67
2024-04-01,Six Senses Automotive Pvt Ltd,22,24.0,3.0,-8.33,633.33
2024-04-01,M/S Maa Motors Works,22,84.0,21.0,-73.81,4.76
2024-04-01,M/S Maa Motors Workshop,22,110.0,18.0,-80.0,22.22
2024-04-01,E-Sprinto Green Energy Pvt Ltd,22,55.0,42.0,-60.0,-47.62
2024-04-01,Inderpreet Agro Industries,22,24.0,33.0,-8.33,-33.33
2024-04-01,Maa Engineering Trailor,22,46.0,45.0,-52.17,-51.11
2024-04-01,Bentley Motors Limited,21,40.0,45.0,-47.5,-53.33
2024-04-01,Uma Auto Industries Pvt. Ltd,20,60.0,123.0,-66.67,-83.74
2024-04-01,Panesar Agro Tech,20,28.0,102.0,-28.57,-80.39
2024-04-01,Sidhi Durga Engineering,20,48.0,42.0,-58.33,-52.38
2024-04-01,Balaji Agro Industries,20,34.0,36.0,-41.18,-44.44
2024-04-01,J P Auto Tech,20,16.0,60.0,25.0,-66.67
2024-04-01,Ramon Industries,20,52.0,108.0,-61.54,-81.48
2024-04-01,Mahindra Electric Mobility Limited,20,75.0,1798.0,-73.33,-98.89
2024-04-01,"Saraswati Agro Industries,Ctc",19,19.0,18.0,0.0,5.56
2024-04-01,Hitech Engineering Ltd,19,20.0,36.0,-5.0,-47.22
2024-04-01,Ogata Motors India Pvt Ltd,19,78.0,93.0,-75.64,-79.57
2024-04-01,Sahu Industries,18,24.0,21.0,-25.0,-14.29
2024-04-01,Gill Agriculture Works,18,37.0,60.0,-51.35,-70.0
2024-04-01,Avtar Engineering Works,18,18.0,2.0,0.0,800.0
2024-04-01,Elthor Energy Private Limited,18,48.0,180.0,-62.5,-90.0
2024-04-01,"Viswanath Industries,Bbsr",18,18.0,30.0,0.0,-40.0
2024-04-01,Baghwan Rikshaw Udyog,18,24.0,60.0,-25.0,-70.0
2024-04-01,Shivashakthi Eng Works,18,88.0,165.0,-79.55,-89.09
2024-04-01,Neelam Cycle,18,18.0,21.0,0.0,-14.29
2024-04-01,Reflex Control System Pvt .Ltd,18,32.0,48.0,-43.75,-62.5
2024-04-01,Narindera Agro Works,18,16.0,6.0,12.5,200.0
2024-04-01,Prakash Trailer,18,10.0,3.0,80.0,500.0
2024-04-01,Fiori Concrete Machines India Pvt Ltd,18,6.0,,200.0,
2024-04-01,Vishwakarma Agriculture Udhyog,18,90.0,52.0,-80.0,-65.38
2024-04-01,Anchi Motorcycle (Importer: Yed Electric),18,60.0,,-70.0,
2024-04-01,Sansar Combine,18,3.0,11.0,500.0,63.64
2024-04-01,Dasmesh Agriculture Works,18,12.0,42.0,50.0,-57.14
2024-04-01,Jayna Automobiles Llp,18,,,,
2024-04-01,White Carbon Motors Pvt Ltd,18,16.0,34.0,12.5,-47.06
2024-04-01,Pick Electric Auto Pvt Ltd,18,,,,
2024-04-01,Sunultra Power Solutions Pvt Ltd,18,62.0,141.0,-70.97,-87.23
2024-04-01,S And J Industries,18,30.0,114.0,-40.0,-84.21
2024-04-01,Vidarbha Trailers,18,32.0,9.0,-43.75,100.0
2024-04-01,Youyaku Electric (Importer:Onzo Ev),18,32.0,,-43.75,
2024-04-01,Jaidka Power Systems Pvt Ltd,18,72.0,66.0,-75.0,-72.73
2024-04-01,Skoda Auto As,17,3.0,12.0,466.67,41.67
2024-04-01,Ningbo Sanjiang (Importer: Vabro Evtech),17,9.0,,88.89,
2024-04-01,C M Overseas,17,11.0,30.0,54.55,-43.33
2024-04-01,Dongma Vehicle (Importer: Mercury Metals),16,32.0,,-50.0,
2024-04-01,Tara Maa Machinery,16,46.0,,-65.22,
2024-04-01,New Marthwada Quality Trailor,16,8.0,18.0,100.0,-11.11
2024-04-01,Praakarm Auto & Construction Equipments,16,22.0,93.0,-27.27,-82.8
2024-04-01,Rp Motors,16,104.0,,-84.62,
2024-04-01,Chandake-Automobiles Llp,16,10.0,,60.0,
2024-04-01,Prajjwal Mahajan Traders,16,134.0,,-88.06,
2024-04-01,Transport Engineering Solutions India Pvt Ltd,16,20.0,36.0,-20.0,-55.56
2024-04-01,J S Agro Industries,16,34.0,174.0,-52.94,-90.8
2024-04-01,Akal Agro Industry,16,28.0,9.0,-42.86,77.78
2024-04-01,Liebherr India Pvt Ltd,16,15.0,24.0,6.67,-33.33
2024-04-01,M/S New Shetkari Engineering Work,16,52.0,33.0,-69.23,-51.52
2024-04-01,M/S Superior Manufacturing Company,16,20.0,30.0,-20.0,-46.67
2024-04-01,New Gahir Agro Industries,16,35.0,99.0,-54.29,-83.84
2024-04-01,Terex India Private Limited,16,30.0,31.0,-46.67,-48.39
2024-04-01,Ram Agro Industries,16,26.0,102.0,-38.46,-84.31
2024-04-01,Dhanalakshmi Engineering Works,16,2.0,18.0,700.0,-11.11
2024-04-01,Vishala E-Vehicles Industries Private Limited,16,20.0,72.0,-20.0,-77.78
2024-04-01,Shree Sai Agro Engineering Works,16,26.0,24.0,-38.46,-33.33
2024-04-01,Ambika Enterprises,16,44.0,117.0,-63.64,-86.32
2024-04-01,Assam Fabrication Works,16,84.0,18.0,-80.95,-11.11
2024-04-01,Paramount Automotives,16,4.0,9.0,300.0,77.78
2024-04-01,Shri Ganesh Enginerring Works,16,78.0,54.0,-79.49,-70.37
2024-04-01,Essar Engineering,16,4.0,15.0,300.0,6.67
2024-04-01,Powerland Agro Tractor Vehicles Pvt Ltd,15,4.0,7.0,275.0,114.29
2024-04-01,Juneng Motorcycle (Importer: Adms Marketing),15,41.0,24.0,-63.41,-37.5
2024-04-01,Sealion Automobile Pvt Ltd,14,10.0,42.0,40.0,-66.67
2024-04-01,"Diamond Engg,Ctc",14,22.0,18.0,-36.36,-22.22
2024-04-01,Sen And Pandit Voltage Control Pvt Ltd,14,30.0,33.0,-53.33,-57.58
2024-04-01,Matharu Engineering Agri Works,14,41.0,79.0,-65.85,-82.28
2024-04-01,Tii India Pvt Ltd,14,36.0,72.0,-61.11,-80.56
2024-04-01,Amarjeet Harvester Industry,14,20.0,21.0,-30.0,-33.33
2024-04-01,Kpt Motors,14,16.0,48.0,-12.5,-70.83
2024-04-01,Malak Techno Pvt Ltd,14,68.0,54.0,-79.41,-74.07
2024-04-01,Jade Korea Spine Life,14,22.0,63.0,-36.36,-77.78
2024-04-01,Soni E Vehicle Pvt Ltd,14,20.0,42.0,-30.0,-66.67
2024-04-01,S S Global,14,10.0,6.0,40.0,133.33
2024-04-01,M K Brothers,14,4.0,10.0,250.0,40.0
2024-04-01,Harjeet Agro Industries,14,57.0,123.0,-75.44,-88.62
2024-04-01,Mondal Trading,14,41.0,27.0,-65.85,-48.15
2024-04-01,Motovolt Mobility Pvt Ltd,14,6.0,,133.33,
2024-04-01,Gahir Agricultural Industries,14,12.0,33.0,16.67,-57.58
2024-04-01,Harmeet Agriculture Works,14,84.0,69.0,-83.33,-79.71
2024-04-01,Punjab Hi-Tech Industries,14,6.0,30.0,133.33,-53.33
2024-04-01,Sagar Fabrications,14,10.0,15.0,40.0,-6.67
2024-04-01,Punjab Body Builders,14,52.0,6.0,-73.08,133.33
2024-04-01,Saifian Solar Pvt Ltd,14,22.0,,-36.36,
2024-04-01,Gillpreetagro Industries,13,8.0,48.0,62.5,-72.92
2024-04-01,"Samal Fabricator,Barchana",13,8.0,18.0,62.5,-27.78
2024-04-01,Wisent Infratech Llp,13,13.0,18.0,0.0,-27.78
2024-04-01,Sunariya Motors Pvt Ltd,12,30.0,28.0,-60.0,-57.14
2024-04-01,Harsh Trading Co,12,20.0,12.0,-40.0,0.0
2024-04-01,Speed Auto Tech,12,10.0,84.0,20.0,-85.71
2024-04-01,China Haochen (Importer:Slsr Electro),12,12.0,,0.0,
2024-04-01,Hykon India Ltd,12,12.0,57.0,0.0,-78.95
2024-04-01,Deltek Enterprises Pvt Ltd,12,10.0,100.0,20.0,-88.0
2024-04-01,Trimurti Trailer,12,12.0,6.0,0.0,100.0
2024-04-01,M G Industries,12,70.0,138.0,-82.86,-91.3
2024-04-01,Zhejiang Morni (Importer: Adishwar Auto),12,8.0,24.0,50.0,-50.0
2024-04-01,Mytrah Mobility Pvt Ltd,12,110.0,124.0,-89.09,-90.32
2024-04-01,Zhejiang Cfmoto (Importer: Adishwar Auto),12,21.0,69.0,-42.86,-82.61
2024-04-01,Ayaan Electronic Pvt Ltd,12,57.0,107.0,-78.95,-88.79
2024-04-01,Vintage Vehicles,12,32.0,372.0,-62.5,-96.77
