quarter,manufacturer,registrations,lag_q,lag_y,qoq_pct,yoy_pct
2024-04-01,Daksh Industries,2153,3571.0,3957.0,-39.71,-45.59
2024-04-01,Escorts Kubota Limited (Construction Equipment),2082,3318.0,3812.0,-37.25,-45.38
2024-04-01,Okaya Ev Pvt Ltd,2058,5418.0,18713.0,-62.02,-89.0
2024-04-01,Quantum Energy Ltd.,1997,2564.0,844.0,-22.11,136.61
2024-04-01,Pca Automobiles India Pvt Ltd,1979,3882.0,7657.0,-49.02,-74.15
2024-04-01,Ajax Engineering Pvt Ltd,1972,2490.0,3217.0,-20.8,-38.7
2024-04-01,Zeoplus Axis India Pvt. Ltd.,1937,2674.0,2058.0,-27.56,-5.88
2024-04-01,Best Way Agencies Pvt Ltd,1794,3214.0,5640.0,-44.18,-68.19
2024-04-01,Shri Barsana E-Vehicles Pvt Ltd,1697,2755.0,2447.0,-38.4,-30.65
2024-04-01,Pur Energy Pvt Ltd,1673,3334.0,5622.0,-49.82,-70.24
2024-04-01,Shema E- Vehcile & Solar Pvt Ltd,1638,1498.0,,9.35,
2024-04-01,G.K. Rickshaw,1565,2383.0,4345.0,-34.33,-63.98
2024-04-01,Fca India Automobiles Private Limited,1517,2571.0,5887.0,-41.0,-74.23
2024-04-01,Vijays Coolmax Private Limited,1508,2770.0,3657.0,-45.56,-58.76
2024-04-01,N0Va Automotive Technologies Pvt. Ltd,1502,2773.0,3484.0,-45.83,-56.89
2024-04-01,Mlr Auto Ltd,1450,1846.0,875.0,-21.45,65.71
2024-04-01,Hooghly Motors Pvt Ltd,1394,2308.0,2277.0,-39.6,-38.78
2024-04-01,Baxy Ltd,1331,1947.0,,-31.64,
2024-04-01,India Kawasaki Motors Pvt Ltd,1325,2309.0,2557.0,-42.62,-48.18
2024-04-01,Omega Seiki Pvt Ltd,1290,6260.0,1999.0,-79.39,-35.47
2024-04-01,Sathi Motors Electric Vehicle Pvt Ltd,1269,1462.0,1744.0,-13.2,-27.24
2024-04-01,Jaguar Land Rover India Limited,1252,1883.0,2444.0,-33.51,-48.77
2024-04-01,Arrow Automotive,1233,1314.0,3101.0,-6.16,-60.24
2024-04-01,Hero Electric Vehicles Pvt. Ltd,1164,2191.0,20407.0,-46.87,-94.3
2024-04-01,Nrj Electric Motor Vehicles Pvt Ltd,1142,1672.0,1599.0,-31.7,-28.58
2024-04-01,Zeniak Innovation India Ltd,1117,1611.0,1588.0,-30.66,-29.66
2024-04-01,Move Stone Services Pvt Ltd,1107,1799.0,1802.0,-38.47,-38.57
2024-04-01,Avl Electric Vehicles Pvt Ltd,1103,1546.0,1515.0,-28.65,-27.19
2024-04-01,Klb Komaki Pvt Ltd,1098,1737.0,3398.0,-36.79,-67.69
2024-04-01,Grd Motors,1093,1942.0,2644.0,-43.72,-58.66
2024-04-01,M/S Shriram Auto Tech Pvt Ltd,1064,1856.0,2937.0,-42.67,-63.77
2024-04-01,Ti Clean Mobility Pvt Ltd,1049,3151.0,123.0,-66.71,752.85
2024-04-01,T U K Industries,1046,1602.0,1854.0,-34.71,-43.58
2024-04-01,Altier Electric Vehicles Pvt Ltd,1032,1570.0,1451.0,-34.27,-28.88
2024-04-01,Paras Industries,1026,1770.0,2422.0,-42.03,-57.64
2024-04-01,Two Friends Auto Electric Co,1003,1912.0,3183.0,-47.54,-68.49
2024-04-01,Speego Vehicles Co Pvt Ltd,990,2175.0,3182.0,-54.48,-68.89
2024-04-01,U.P. Telelinks Limited,981,1564.0,1623.0,-37.28,-39.56
2024-04-01,Unique Enterprises,973,2127.0,2144.0,-54.25,-54.62
2024-04-01,Indo Farm Equipment Limited,909,1885.0,3091.0,-51.78,-70.59
2024-04-01,Bright Autozone Pvt Ltd,892,1566.0,2457.0,-43.04,-63.7
