quarter,manufacturer,registrations
2024-01-01,Engtian Electric Bike Pvt Ltd,235
2024-04-01,Engtian Electric Bike Pvt Ltd,105
2023-10-01,Enigma Automobiles Pvt Ltd,6
2024-01-01,Enigma Automobiles Pvt Ltd,8
2024-04-01,Enigma Automobiles Pvt Ltd,2
2019-01-01,Entice Impex Pvt Ltd,16
2019-04-01,Entice Impex Pvt Ltd,22
2019-07-01,Entice Impex Pvt Ltd,16
2019-10-01,Entice Impex Pvt Ltd,47
2020-01-01,Entice Impex Pvt Ltd,880
2020-04-01,Entice Impex Pvt Ltd,138
2020-07-01,Entice Impex Pvt Ltd,748
2020-10-01,Entice Impex Pvt Ltd,852
2021-01-01,Entice Impex Pvt Ltd,450
2021-04-01,Entice Impex Pvt Ltd,74
2021-07-01,Entice Impex Pvt Ltd,140
2021-10-01,Entice Impex Pvt Ltd,349
2022-01-01,Entice Impex Pvt Ltd,265
2022-04-01,Entice Impex Pvt Ltd,339
2022-07-01,Entice Impex Pvt Ltd,222
2022-10-01,Entice Impex Pvt Ltd,335
2023-01-01,Entice Impex Pvt Ltd,225
2023-04-01,Entice Impex Pvt Ltd,322
2023-07-01,Entice Impex Pvt Ltd,592
2023-10-01,Entice Impex Pvt Ltd,636
2024-01-01,Entice Impex Pvt Ltd,512
2024-04-01,Entice Impex Pvt Ltd,265
2019-01-01,Epiroc Mining India Ltd,23
2019-04-01,Epiroc Mining India Ltd,7
2019-07-01,Epiroc Mining India Ltd,4
2019-10-01,Epiroc Mining India Ltd,1
2020-01-01,Epiroc Mining India Ltd,40
2021-01-01,Epiroc Mining India Ltd,8
2019-01-01,Epower Vehicles Pvt Ltd,36
2019-04-01,Epower Vehicles Pvt Ltd,36
2019-07-01,Epower Vehicles Pvt Ltd,30
2019-10-01,Epower Vehicles Pvt Ltd,49
2020-01-01,Epower Vehicles Pvt Ltd,760
2020-04-01,Epower Vehicles Pvt Ltd,51
2020-07-01,Epower Vehicles Pvt Ltd,213
2020-10-01,Epower Vehicles Pvt Ltd,99
2021-01-01,Epower Vehicles Pvt Ltd,118
2021-04-01,Epower Vehicles Pvt Ltd,228
2021-07-01,Epower Vehicles Pvt Ltd,60
2021-10-01,Epower Vehicles Pvt Ltd,36
2022-01-01,Epower Vehicles Pvt Ltd,21
2022-04-01,Epower Vehicles Pvt Ltd,40
2022-07-01,Epower Vehicles Pvt Ltd,136
2022-10-01,Epower Vehicles Pvt Ltd,47
2023-01-01,Epower Vehicles Pvt Ltd,15
2023-04-01,Epower Vehicles Pvt Ltd,9
2023-07-01,Epower Vehicles Pvt Ltd,57
2023-10-01,Epower Vehicles Pvt Ltd,12
2024-01-01,Epower Vehicles Pvt Ltd,4
2023-04-01,Erisha E Mobility Pvt Ltd,18
2023-07-01,Erisha E Mobility Pvt Ltd,98
2023-10-01,Erisha E Mobility Pvt Ltd,63
2024-01-01,Erisha E Mobility Pvt Ltd,42
2024-04-01,Erisha E Mobility Pvt Ltd,50
2020-07-01,Escorts Automotive Ltd,20
2019-01-01,Escorts Construction Equipment Ltd,4154
2019-04-01,Escorts Construction Equipment Ltd,3332
2019-07-01,Escorts Construction Equipment Ltd,3452
2019-10-01,Escorts Construction Equipment Ltd,3727
2020-01-01,Escorts Construction Equipment Ltd,80644
2020-04-01,Escorts Construction Equipment Ltd,35309
2020-07-01,Escorts Construction Equipment Ltd,113976
2020-10-01,Escorts Construction Equipment Ltd,93160
2021-01-01,Escorts Construction Equipment Ltd,43875
2021-04-01,Escorts Construction Equipment Ltd,13233
2021-07-01,Escorts Construction Equipment Ltd,26689
2021-10-01,Escorts Construction Equipment Ltd,22172
2022-01-01,Escorts Construction Equipment Ltd,25605
2022-04-01,Escorts Construction Equipment Ltd,20599
2022-07-01,Escorts Construction Equipment Ltd,23567
2022-10-01,Escorts Construction Equipment Ltd,2028
2023-01-01,Escorts Construction Equipment Ltd,131
2023-04-01,Escorts Construction Equipment Ltd,185
2023-07-01,Escorts Construction Equipment Ltd,41
2023-10-01,Escorts Construction Equipment Ltd,25
2024-01-01,Escorts Construction Equipment Ltd,16
2024-04-01,Escorts Construction Equipment Ltd,4
2020-01-01,Escorts Kubota Limited (Agri Machinery Group),374956
2020-04-01,Escorts Kubota Limited (Agri Machinery Group),158773
2020-07-01,Escorts Kubota Limited (Agri Machinery Group),468217
2020-10-01,Escorts Kubota Limited (Agri Machinery Group),349502
2021-01-01,Escorts Kubota Limited (Agri Machinery Group),204766
2021-04-01,Escorts Kubota Limited (Agri Machinery Group),86514
2021-07-01,Escorts Kubota Limited (Agri Machinery Group),134136
2021-10-01,Escorts Kubota Limited (Agri Machinery Group),93574
2022-01-01,Escorts Kubota Limited (Agri Machinery Group),104294
2022-04-01,Escorts Kubota Limited (Agri Machinery Group),106103
2022-07-01,Escorts Kubota Limited (Agri Machinery Group),103207
2022-10-01,Escorts Kubota Limited (Agri Machinery Group),132110
2023-01-01,Escorts Kubota Limited (Agri Machinery Group),75706
2023-04-01,Escorts Kubota Limited (Agri Machinery Group),76553
2023-07-01,Escorts Kubota Limited (Agri Machinery Group),69087
2023-10-01,Escorts Kubota Limited (Agri Machinery Group),65850
2024-01-01,Escorts Kubota Limited (Agri Machinery Group),50004
2024-04-01,Escorts Kubota Limited (Agri Machinery Group),29159
2020-01-01,Escorts Kubota Limited (Construction Equipment),19411
2020-04-01,Escorts Kubota Limited (Construction Equipment),4545
2020-07-01,Escorts Kubota Limited (Construction Equipment),12036
2020-10-01,Escorts Kubota Limited (Construction Equipment),15967
2021-01-01,Escorts Kubota Limited (Construction Equipment),10108
2021-04-01,Escorts Kubota Limited (Construction Equipment),4051
2021-07-01,Escorts Kubota Limited (Construction Equipment),5328
2021-10-01,Escorts Kubota Limited (Construction Equipment),5149
2022-01-01,Escorts Kubota Limited (Construction Equipment),5620
2022-04-01,Escorts Kubota Limited (Construction Equipment),5409
2022-07-01,Escorts Kubota Limited (Construction Equipment),4918
2022-10-01,Escorts Kubota Limited (Construction Equipment),5336
2023-01-01,Escorts Kubota Limited (Construction Equipment),3606
2023-04-01,Escorts Kubota Limited (Construction Equipment),3812
2023-07-01,Escorts Kubota Limited (Construction Equipment),3643
2023-10-01,Escorts Kubota Limited (Construction Equipment),4439
2024-01-01,Escorts Kubota Limited (Construction Equipment),3318
2024-04-01,Escorts Kubota Limited (Construction Equipment),2082
2019-01-01,Escorts Limited (Agri Machinery Group),18220
2019-04-01,Escorts Limited (Agri Machinery Group),14686
2019-07-01,Escorts Limited (Agri Machinery Group),16358
2019-10-01,Escorts Limited (Agri Machinery Group),15865
2019-01-01,Escorts Limited (Construction Equipment),1014
2019-04-01,Escorts Limited (Construction Equipment),939
2019-07-01,Escorts Limited (Construction Equipment),834
2019-10-01,Escorts Limited (Construction Equipment),757
2020-07-01,Escorts R&D Centre,296
2020-10-01,Escorts R&D Centre,146
2021-01-01,Escorts R&D Centre,110
2021-04-01,Escorts R&D Centre,18
2021-07-01,Escorts R&D Centre,74
2021-10-01,Escorts R&D Centre,93
2022-01-01,Escorts R&D Centre,69
2022-04-01,Escorts R&D Centre,33
2022-07-01,Escorts R&D Centre,41
2022-10-01,Escorts R&D Centre,7
2023-01-01,Escorts R&D Centre,23
2023-04-01,Escorts R&D Centre,143
2023-07-01,Escorts R&D Centre,7
2023-10-01,Escorts R&D Centre,16
2024-01-01,Escorts R&D Centre,3
2019-01-01,Escorts R&d Centre,6
2019-04-01,Escorts R&d Centre,7
2019-07-01,Escorts R&d Centre,6
2019-10-01,Escorts R&d Centre,3
2021-01-01,Escorts Tractors Ltd,7
2024-01-01,Escorts Tractors Ltd,18
2024-04-01,Escorts Tractors Ltd,6
2019-01-01,Essar Engineering,57
2019-04-01,Essar Engineering,23
2019-07-01,Essar Engineering,24
2019-10-01,Essar Engineering,59
2020-01-01,Essar Engineering,699
2020-04-01,Essar Engineering,297
2020-07-01,Essar Engineering,642
2020-10-01,Essar Engineering,185
2021-01-01,Essar Engineering,125
2021-04-01,Essar Engineering,29
2021-10-01,Essar Engineering,53
2022-01-01,Essar Engineering,23
2022-04-01,Essar Engineering,118
2022-07-01,Essar Engineering,34
2022-10-01,Essar Engineering,18
2023-01-01,Essar Engineering,39
2023-04-01,Essar Engineering,15
2023-07-01,Essar Engineering,6
2023-10-01,Essar Engineering,3
2024-01-01,Essar Engineering,4
2024-04-01,Essar Engineering,16
2021-01-01,Etrio Automobiles Pvt Ltd,75
2021-04-01,Etrio Automobiles Pvt Ltd,31
2021-07-01,Etrio Automobiles Pvt Ltd,254
2021-10-01,Etrio Automobiles Pvt Ltd,146
2022-01-01,Etrio Automobiles Pvt Ltd,80
2022-04-01,Etrio Automobiles Pvt Ltd,238
2022-07-01,Etrio Automobiles Pvt Ltd,344
2022-10-01,Etrio Automobiles Pvt Ltd,388
2023-01-01,Etrio Automobiles Pvt Ltd,69
2023-04-01,Etrio Automobiles Pvt Ltd,78
2023-07-01,Etrio Automobiles Pvt Ltd,90
2023-10-01,Etrio Automobiles Pvt Ltd,15
2024-01-01,Etrio Automobiles Pvt Ltd,8
2019-01-01,Euler Motors Pvt Ltd,19
2019-04-01,Euler Motors Pvt Ltd,30
2019-07-01,Euler Motors Pvt Ltd,81
2019-10-01,Euler Motors Pvt Ltd,13
2020-07-01,Euler Motors Pvt Ltd,318
2020-10-01,Euler Motors Pvt Ltd,934
2021-01-01,Euler Motors Pvt Ltd,129
2021-07-01,Euler Motors Pvt Ltd,248
2021-10-01,Euler Motors Pvt Ltd,475
2022-01-01,Euler Motors Pvt Ltd,1422
2022-04-01,Euler Motors Pvt Ltd,851
2022-07-01,Euler Motors Pvt Ltd,332
2022-10-01,Euler Motors Pvt Ltd,1370
2023-01-01,Euler Motors Pvt Ltd,1367
2023-04-01,Euler Motors Pvt Ltd,1698
2023-07-01,Euler Motors Pvt Ltd,2144
2023-10-01,Euler Motors Pvt Ltd,2624
2024-01-01,Euler Motors Pvt Ltd,2525
2024-04-01,Euler Motors Pvt Ltd,823
2020-07-01,Euromach,20
2020-10-01,Euromach,1
2019-04-01,Eusi Motors Pvt Ltd,2
2019-07-01,Eusi Motors Pvt Ltd,60
2019-10-01,Eusi Motors Pvt Ltd,51
2022-10-01,Evage Automotive Pvt Ltd,15
2023-04-01,Evage Automotive Pvt Ltd,18
2023-07-01,Evage Automotive Pvt Ltd,33
2023-10-01,Evage Automotive Pvt Ltd,81
2024-01-01,Evage Automotive Pvt Ltd,60
2024-04-01,Evage Automotive Pvt Ltd,58
2019-01-01,Evax India,6
2019-04-01,Evax India,17
2019-07-01,Evax India,32
2019-10-01,Evax India,12
2022-04-01,Evbharat Range Private Limited,6
2022-07-01,Evbharat Range Private Limited,2
2022-10-01,Evbharat Range Private Limited,81
2023-01-01,Evbharat Range Private Limited,12
2023-04-01,Evbharat Range Private Limited,15
2023-07-01,Evbharat Range Private Limited,57
2023-10-01,Evbharat Range Private Limited,9
2024-01-01,Evbharat Range Private Limited,8
2024-04-01,Evbharat Range Private Limited,10
2022-10-01,Evco Automobiles Pvt Ltd,342
2023-10-01,Evco Automobiles Pvt Ltd,42
2024-01-01,Evco Automobiles Pvt Ltd,88
2024-04-01,Evco Automobiles Pvt Ltd,132
2023-04-01,Everve Motors Pvt Ltd,4
2020-01-01,Evex Auto India Pvt Ltd,507
2020-04-01,Evex Auto India Pvt Ltd,3
2020-07-01,Evex Auto India Pvt Ltd,181
2020-10-01,Evex Auto India Pvt Ltd,643
2021-01-01,Evex Auto India Pvt Ltd,379
2021-04-01,Evex Auto India Pvt Ltd,120
2021-07-01,Evex Auto India Pvt Ltd,118
2021-10-01,Evex Auto India Pvt Ltd,415
2022-01-01,Evex Auto India Pvt Ltd,396
2022-04-01,Evex Auto India Pvt Ltd,555
2022-07-01,Evex Auto India Pvt Ltd,422
2022-10-01,Evex Auto India Pvt Ltd,555
2023-01-01,Evex Auto India Pvt Ltd,142
2023-04-01,Evex Auto India Pvt Ltd,313
2023-07-01,Evex Auto India Pvt Ltd,79
2023-10-01,Evex Auto India Pvt Ltd,39
2024-01-01,Evex Auto India Pvt Ltd,52
2020-07-01,Evolution Autotech,19
2021-01-01,Evolution Autotech,5
2021-07-01,Evolution Autotech,12
2021-10-01,Evolution Autotech,14
2022-01-01,Evolution Autotech,10
2022-04-01,Evolution Autotech,2
2024-01-01,Evolution Autotech,4
2022-07-01,Evtric Motors Pvt Ltd,88
2022-10-01,Evtric Motors Pvt Ltd,916
2023-01-01,Evtric Motors Pvt Ltd,438
2023-04-01,Evtric Motors Pvt Ltd,522
2023-07-01,Evtric Motors Pvt Ltd,469
2023-10-01,Evtric Motors Pvt Ltd,220
2024-01-01,Evtric Motors Pvt Ltd,149
2024-04-01,Evtric Motors Pvt Ltd,74
2022-04-01,Exerval Pvt Ltd,356
2022-07-01,Exerval Pvt Ltd,214
2022-10-01,Exerval Pvt Ltd,184
2023-01-01,Exerval Pvt Ltd,78
2023-04-01,Exerval Pvt Ltd,72
2023-07-01,Exerval Pvt Ltd,72
2023-10-01,Exerval Pvt Ltd,27
2024-01-01,Exerval Pvt Ltd,12
2024-04-01,Exerval Pvt Ltd,10
2019-10-01,Exide Industries Ltd,1
2020-01-01,Exide Industries Ltd,850
2020-04-01,Exide Industries Ltd,664
2020-07-01,Exide Industries Ltd,1345
2020-10-01,Exide Industries Ltd,2744
2021-01-01,Exide Industries Ltd,1552
2021-04-01,Exide Industries Ltd,520
2021-07-01,Exide Industries Ltd,797
2021-10-01,Exide Industries Ltd,923
2022-01-01,Exide Industries Ltd,891
2022-04-01,Exide Industries Ltd,1473
2022-07-01,Exide Industries Ltd,2277
2022-10-01,Exide Industries Ltd,2001
2023-01-01,Exide Industries Ltd,1635
2023-04-01,Exide Industries Ltd,1813
2023-07-01,Exide Industries Ltd,1874
2023-10-01,Exide Industries Ltd,2109
2024-01-01,Exide Industries Ltd,1365
2024-04-01,Exide Industries Ltd,749
2021-01-01,Expo Machinery Ltd,1
2021-07-01,Expo Machinery Ltd,8
2020-01-01,Extra Fast Solutions,260
2020-04-01,Extra Fast Solutions,207
2020-07-01,Extra Fast Solutions,306
2020-10-01,Extra Fast Solutions,357
2021-01-01,Extra Fast Solutions,365
2021-04-01,Extra Fast Solutions,127
2021-07-01,Extra Fast Solutions,267
2021-10-01,Extra Fast Solutions,789
2022-01-01,Extra Fast Solutions,382
2022-04-01,Extra Fast Solutions,593
2022-07-01,Extra Fast Solutions,748
2022-10-01,Extra Fast Solutions,837
2023-01-01,Extra Fast Solutions,221
2023-04-01,Extra Fast Solutions,333
2023-07-01,Extra Fast Solutions,541
2023-10-01,Extra Fast Solutions,824
2024-01-01,Extra Fast Solutions,399
2024-04-01,Extra Fast Solutions,272
2019-10-01,Extramile Gas Tech,4
2020-01-01,Extramile Gas Tech,120
2019-01-01,Extreme Motors,48
2019-04-01,Extreme Motors,32
2019-07-01,Extreme Motors,21
2019-10-01,Extreme Motors,6
2020-01-01,Extreme Motors,120
2020-04-01,Extreme Motors,41
2020-07-01,Extreme Motors,61
2020-10-01,Extreme Motors,21
2021-01-01,Extreme Motors,21
2021-04-01,Extreme Motors,6
2021-07-01,Extreme Motors,16
2021-10-01,Extreme Motors,66
2022-01-01,Extreme Motors,94
2022-04-01,Extreme Motors,186
2022-07-01,Extreme Motors,360
2022-10-01,Extreme Motors,399
2023-01-01,Extreme Motors,159
2023-04-01,Extreme Motors,192
2023-07-01,Extreme Motors,153
2023-10-01,Extreme Motors,150
2024-01-01,Extreme Motors,78
2024-04-01,Extreme Motors,56
2024-04-01,Eyug Automobile Pvt Ltd,12
2022-07-01,Faiyaza Faiyaz Auto Pvt,5
2020-01-01,"Farmer Tractor, Metoda G.I.D.C.",20
2021-01-01,"Farmer Tractor, Metoda G.I.D.C.",8
2021-10-01,"Farmer Tractor, Metoda G.I.D.C.",5
2022-04-01,"Farmer Tractor, Metoda G.I.D.C.",18
2019-01-01,"Farmer Tractor, Metoda G.i.d.c.",8
2019-04-01,"Farmer Tractor, Metoda G.i.d.c.",4
2019-07-01,"Farmer Tractor, Metoda G.i.d.c.",3
2021-01-01,Farmtech Agro Industries,1
2021-10-01,Farmtech Agro Industries,6
2022-01-01,Farmtech Agro Industries,11
2022-04-01,Farmtech Agro Industries,12
2022-07-01,Farmtech Agro Industries,18
2023-01-01,Farmtech Agro Industries,3
2023-04-01,Farmtech Agro Industries,19
2023-07-01,Farmtech Agro Industries,8
2023-10-01,Farmtech Agro Industries,3
2024-01-01,Farmtech Agro Industries,18
2024-04-01,Farmtech Agro Industries,4
2020-01-01,Fca India Automobiles Private Limited,48319
2020-04-01,Fca India Automobiles Private Limited,8024
2020-07-01,Fca India Automobiles Private Limited,21610
2020-10-01,Fca India Automobiles Private Limited,38668
2021-01-01,Fca India Automobiles Private Limited,20781
2021-04-01,Fca India Automobiles Private Limited,12504
2021-07-01,Fca India Automobiles Private Limited,18279
2021-10-01,Fca India Automobiles Private Limited,19588
2022-01-01,Fca India Automobiles Private Limited,15890
2022-04-01,Fca India Automobiles Private Limited,18588
2022-07-01,Fca India Automobiles Private Limited,20443
2022-10-01,Fca India Automobiles Private Limited,17811
2023-01-01,Fca India Automobiles Private Limited,7274
2023-04-01,Fca India Automobiles Private Limited,5887
2023-07-01,Fca India Automobiles Private Limited,4490
2023-10-01,Fca India Automobiles Private Limited,4590
2024-01-01,Fca India Automobiles Private Limited,2571
2024-04-01,Fca India Automobiles Private Limited,1517
2022-01-01,Fede Industries Pvt Ltd,220
2022-04-01,Fede Industries Pvt Ltd,540
2022-07-01,Fede Industries Pvt Ltd,684
2022-10-01,Fede Industries Pvt Ltd,864
2023-01-01,Fede Industries Pvt Ltd,599
2023-04-01,Fede Industries Pvt Ltd,693
2023-07-01,Fede Industries Pvt Ltd,633
2023-10-01,Fede Industries Pvt Ltd,829
2024-01-01,Fede Industries Pvt Ltd,394
2024-04-01,Fede Industries Pvt Ltd,196
2019-01-01,Ferrari India Private Limited,2
2019-04-01,Ferrari India Private Limited,5
2019-07-01,Ferrari India Private Limited,7
2019-10-01,Ferrari India Private Limited,5
2020-01-01,Ferrari India Private Limited,180
2020-04-01,Ferrari India Private Limited,2
2020-07-01,Ferrari India Private Limited,79
2020-10-01,Ferrari India Private Limited,79
2021-01-01,Ferrari India Private Limited,63
2021-04-01,Ferrari India Private Limited,18
2021-07-01,Ferrari India Private Limited,28
2021-10-01,Ferrari India Private Limited,26
2022-01-01,Ferrari India Private Limited,12
2022-04-01,Ferrari India Private Limited,13
2022-07-01,Ferrari India Private Limited,24
2023-01-01,Ferrari India Private Limited,30
2023-04-01,Ferrari India Private Limited,21
2023-07-01,Ferrari India Private Limited,6
2023-10-01,Ferrari India Private Limited,24
2024-01-01,Ferrari India Private Limited,4
2024-04-01,Ferrari India Private Limited,4
2020-01-01,Ferrari Spa,60
2020-04-01,Ferrari Spa,41
2020-07-01,Ferrari Spa,1
2020-10-01,Ferrari Spa,39
2021-01-01,Ferrari Spa,18
2021-04-01,Ferrari Spa,27
2021-07-01,Ferrari Spa,10
2021-10-01,Ferrari Spa,29
2022-01-01,Ferrari Spa,6
2022-04-01,Ferrari Spa,17
2022-07-01,Ferrari Spa,32
2022-10-01,Ferrari Spa,21
2023-01-01,Ferrari Spa,15
2023-04-01,Ferrari Spa,24
2023-07-01,Ferrari Spa,18
2023-10-01,Ferrari Spa,9
2024-01-01,Ferrari Spa,6
2024-04-01,Ferrari Spa,4
2022-10-01,Fiado Industries Pvt Ltd,29
2023-01-01,Fiado Industries Pvt Ltd,54
2023-04-01,Fiado Industries Pvt Ltd,162
2023-07-01,Fiado Industries Pvt Ltd,78
2023-10-01,Fiado Industries Pvt Ltd,24
2024-01-01,Fiado Industries Pvt Ltd,70
2024-04-01,Fiado Industries Pvt Ltd,30
2019-01-01,Fiat India Automobiles Pvt Ltd,4041
2019-04-01,Fiat India Automobiles Pvt Ltd,3275
2019-07-01,Fiat India Automobiles Pvt Ltd,2477
2019-10-01,Fiat India Automobiles Pvt Ltd,2536
2021-01-01,Fieldtrack Earthmovers Pvt Ltd,4
2021-07-01,Fieldtrack Earthmovers Pvt Ltd,8
2021-10-01,Fieldtrack Earthmovers Pvt Ltd,17
2022-01-01,Fieldtrack Earthmovers Pvt Ltd,16
2022-04-01,Fieldtrack Earthmovers Pvt Ltd,2
2022-07-01,Fieldtrack Earthmovers Pvt Ltd,10
2022-10-01,Fieldtrack Earthmovers Pvt Ltd,54
2023-01-01,Fieldtrack Earthmovers Pvt Ltd,84
2023-04-01,Fieldtrack Earthmovers Pvt Ltd,72
2023-07-01,Fieldtrack Earthmovers Pvt Ltd,42
2023-10-01,Fieldtrack Earthmovers Pvt Ltd,72
2024-01-01,Fieldtrack Earthmovers Pvt Ltd,54
2024-04-01,Fieldtrack Earthmovers Pvt Ltd,42
2019-10-01,Fine Equipments India Pvt Ltd,2
2020-01-01,Fine Equipments India Pvt Ltd,20
2021-01-01,Fine Equipments India Pvt Ltd,1
2021-10-01,Fine Equipments India Pvt Ltd,5
2022-01-01,Fine Equipments India Pvt Ltd,28
2022-04-01,Fine Equipments India Pvt Ltd,5
2023-04-01,Fine Equipments India Pvt Ltd,9
2023-07-01,Fine Equipments India Pvt Ltd,6
2023-10-01,Fine Equipments India Pvt Ltd,4
2024-01-01,Fine Equipments India Pvt Ltd,4
2024-04-01,Fine Equipments India Pvt Ltd,2
2024-01-01,Fiori Concrete Machines India Pvt Ltd,6
2024-04-01,Fiori Concrete Machines India Pvt Ltd,18
2022-04-01,First Choice Electric Vehicles Pvt Ltd,18
2022-07-01,First Choice Electric Vehicles Pvt Ltd,306
2022-10-01,First Choice Electric Vehicles Pvt Ltd,1234
2023-01-01,First Choice Electric Vehicles Pvt Ltd,444
2023-04-01,First Choice Electric Vehicles Pvt Ltd,333
2023-07-01,First Choice Electric Vehicles Pvt Ltd,442
2023-10-01,First Choice Electric Vehicles Pvt Ltd,422
2024-01-01,First Choice Electric Vehicles Pvt Ltd,320
2024-04-01,First Choice Electric Vehicles Pvt Ltd,128
2021-01-01,Fitwel Mobility Pvt Ltd,1
2021-10-01,Fitwel Mobility Pvt Ltd,6
2022-01-01,Fitwel Mobility Pvt Ltd,31
2022-04-01,Fitwel Mobility Pvt Ltd,65
2022-07-01,Fitwel Mobility Pvt Ltd,38
2022-10-01,Fitwel Mobility Pvt Ltd,50
2023-01-01,Fitwel Mobility Pvt Ltd,12
2023-04-01,Fitwel Mobility Pvt Ltd,18
2023-07-01,Fitwel Mobility Pvt Ltd,9
2023-10-01,Fitwel Mobility Pvt Ltd,12
2024-01-01,Fitwel Mobility Pvt Ltd,4
2019-01-01,Five Elements,4
2019-04-01,Five Elements,1
2019-07-01,Five Elements,5
2019-10-01,Five Elements,1
2020-01-01,Five Elements,60
2020-04-01,Five Elements,23
2020-10-01,Five Elements,40
2021-01-01,Five Elements,6
2022-07-01,Five Elements,24
2022-10-01,Five Elements,111
2023-01-01,Five Elements,75
2023-04-01,Five Elements,78
2023-07-01,Five Elements,51
2023-10-01,Five Elements,153
2024-01-01,Five Elements,96
2024-04-01,Five Elements,38
2021-01-01,Fonex Ltd,2
2021-04-01,Fonex Ltd,8
2021-07-01,Fonex Ltd,4
2023-07-01,Fonex Ltd,3
2020-01-01,Force Motors Limited,177610
2020-04-01,Force Motors Limited,25988
2020-07-01,Force Motors Limited,53748
2020-10-01,Force Motors Limited,56813
2021-01-01,Force Motors Limited,34096
2021-04-01,Force Motors Limited,19244
2021-07-01,Force Motors Limited,26416
2021-10-01,Force Motors Limited,24129
2022-01-01,Force Motors Limited,21720
2022-04-01,Force Motors Limited,31059
2022-07-01,Force Motors Limited,35103
2022-10-01,Force Motors Limited,30011
2023-01-01,Force Motors Limited,19599
2023-04-01,Force Motors Limited,19383
2023-07-01,Force Motors Limited,21949
2023-10-01,Force Motors Limited,17462
2024-01-01,Force Motors Limited,16331
2024-04-01,Force Motors Limited,10650
2019-01-01,"Force Motors Limited, A Firodia Enterprise",6541
2019-04-01,"Force Motors Limited, A Firodia Enterprise",7347
2019-07-01,"Force Motors Limited, A Firodia Enterprise",6719
2019-10-01,"Force Motors Limited, A Firodia Enterprise",5953
2019-01-01,Ford India Pvt Ltd,20670
2019-04-01,Ford India Pvt Ltd,18838
2019-07-01,Ford India Pvt Ltd,17019
2019-10-01,Ford India Pvt Ltd,19674
2020-01-01,Ford India Pvt Ltd,283051
2020-04-01,Ford India Pvt Ltd,91630
2020-07-01,Ford India Pvt Ltd,215237
2020-10-01,Ford India Pvt Ltd,325101
2021-01-01,Ford India Pvt Ltd,106852
2021-04-01,Ford India Pvt Ltd,59213
2021-07-01,Ford India Pvt Ltd,65179
2021-10-01,Ford India Pvt Ltd,13398
2022-01-01,Ford India Pvt Ltd,1768
2022-04-01,Ford India Pvt Ltd,497
2022-07-01,Ford India Pvt Ltd,219
2022-10-01,Ford India Pvt Ltd,92
2023-01-01,Ford India Pvt Ltd,82
2023-04-01,Ford India Pvt Ltd,60
2023-07-01,Ford India Pvt Ltd,33
2023-10-01,Ford India Pvt Ltd,25
2024-01-01,Ford India Pvt Ltd,45
2024-04-01,Ford India Pvt Ltd,26
2020-01-01,Forex Fastners (P) Ltd Agro Division,40
2022-07-01,Friends Agro Industries,30
2022-10-01,Friends Agro Industries,14
2023-01-01,Friends Agro Industries,18
2023-04-01,Friends Agro Industries,12
2024-04-01,Frn Motors Pvt Ltd,4
2023-07-01,Fstmoto (Importer: Autoicare Innovation),42
2023-10-01,Fstmoto (Importer: Autoicare Innovation),129
2024-01-01,Fstmoto (Importer: Autoicare Innovation),22
2024-04-01,Fstmoto (Importer: Autoicare Innovation),8
2024-01-01,Fstmoto International (Importer: Tedi (India)),2
2023-04-01,Fujiyama Power Infra Pvt. Ltd.,9
2023-07-01,Fujiyama Power Infra Pvt. Ltd.,40
2023-10-01,Fujiyama Power Infra Pvt. Ltd.,8
2024-01-01,Fujiyama Power Infra Pvt. Ltd.,6
2024-04-01,Fujiyama Power Infra Pvt. Ltd.,2
2019-01-01,G & G Automotive,102
2019-04-01,G & G Automotive,94
2019-07-01,G & G Automotive,232
2019-10-01,G & G Automotive,243
2020-01-01,G & G Automotive,3532
2020-04-01,G & G Automotive,125
2020-07-01,G & G Automotive,946
2020-10-01,G & G Automotive,1660
2021-01-01,G & G Automotive,1065
2021-04-01,G & G Automotive,312
2021-07-01,G & G Automotive,620
2021-10-01,G & G Automotive,1048
2022-01-01,G & G Automotive,1282
2022-04-01,G & G Automotive,475
2022-07-01,G & G Automotive,1138
2022-10-01,G & G Automotive,1443
2023-01-01,G & G Automotive,1104
2023-04-01,G & G Automotive,940
2023-07-01,G & G Automotive,1023
2023-10-01,G & G Automotive,1254
2024-01-01,G & G Automotive,711
2024-04-01,G & G Automotive,358
2019-01-01,G Williams Fabrications Ltd,25
2019-04-01,G Williams Fabrications Ltd,13
2019-07-01,G Williams Fabrications Ltd,22
2019-10-01,G Williams Fabrications Ltd,8
2020-01-01,G Williams Fabrications Ltd,80
2020-04-01,G Williams Fabrications Ltd,2
2020-07-01,G Williams Fabrications Ltd,20
2020-10-01,G Williams Fabrications Ltd,1
2021-01-01,G Williams Fabrications Ltd,1
2021-10-01,G Williams Fabrications Ltd,6
2022-01-01,G Williams Fabrications Ltd,12
2022-04-01,G. M. Vehicle Industries,10
2022-07-01,G. M. Vehicle Industries,36
2023-07-01,G. M. Vehicle Industries,6
2023-10-01,G. M. Vehicle Industries,3
2024-01-01,G. M. Vehicle Industries,24
2024-04-01,G. M. Vehicle Industries,6
2023-10-01,G.K E-Vehicls Industries Pvt Ltd,222
2024-01-01,G.K E-Vehicls Industries Pvt Ltd,346
2024-04-01,G.K E-Vehicls Industries Pvt Ltd,260
2020-01-01,G.K. Rickshaw,17719
